filename,mean_R,mean_G,mean_B,std_R,std_G,std_B,usia_simpan,kelas_kualitas
0_18.JPG,129.06896693277287,103.63347131247873,88.20245989001475,51.17891471302845,39.002224665325436,32.11896605136656,0 minggu,Berkualitas
0_16.JPG,129.38578545905142,103.83058653405776,88.43475264857476,51.72857274260712,39.19420045726183,32.317750036749764,0 minggu,Berkualitas
0_19.JPG,130.45594000301267,105.58037721743561,90.53706667137786,52.5889497051528,39.640599288178635,32.41695949743241,0 minggu,Berkualitas
0_20.JPG,131.8789430919133,107.25684294806553,91.02104706944048,55.86884322767697,41.73814350747928,32.946068751898096,0 minggu,Berkualitas
2_32.JPG,134.1588879112058,106.67252736226246,81.34845358835425,54.35147068760187,40.65597101033314,32.20396161529892,2 minggu,Berkualitas
2_36.JPG,139.2743178445028,112.71591373510641,83.48842929260339,58.37823988282715,43.64947687175292,33.26466333300055,2 minggu,Berkualitas
2_38.JPG,141.64296524219534,116.4145876252355,86.91675382529537,60.30488494332823,47.31860040372848,36.86614231547025,2 minggu,Berkualitas
2_39.JPG,142.6464046042251,115.31392411767432,83.1695120148119,61.15057727431205,47.078129845495084,35.448520763691576,2 minggu,Berkualitas
2_42.JPG,140.1141111598903,114.19706849749579,83.52148933382675,58.83713060405605,45.97225625871336,35.085690073823606,2 minggu,Berkualitas
2_43.JPG,141.92862581295162,115.78968965743152,84.11459541435966,60.7489053578449,46.979564746432125,35.011480069210684,2 minggu,Berkualitas
2_44.JPG,141.90435530029725,114.83921179778689,82.64722745585019,60.90503786701228,46.71910680339048,34.657292573427945,2 minggu,Berkualitas
2_59.JPG,137.86790189412335,105.0297262572299,71.15201774912799,49.025533749049416,37.01380544196817,31.137968006632057,2 minggu,Berkualitas
2_61.JPG,146.33254623644567,112.64602895506611,69.7144565967627,59.98436958517651,43.334388057275575,31.620548347588034,2 minggu,Berkualitas
